tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:48:05
UT-PERC                               3.00.00.002    lf0202rp                      12/02/20  10:48:06
CDAPI704                              2.00.00.013    lf0202a                       12/02/20  10:48:06
CDAPI704                              2.00.00.013    lf0202b                       12/02/20  10:48:06
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:06
LFAPI072                              2.00.00.035    lf0202a                       12/02/20  10:48:13
CDAPI704                              2.00.00.013    lfapi072                      12/02/20  10:48:13
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:22
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:25
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:25
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:25
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:27
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:27
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:28
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:28
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:28
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:28
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:28
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:48:29
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:49:59
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:01
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:50:02
