LF0203GSC                             2.00.00.002    lf0202d                       12/02/20  10:41:36
LF0203GSE                             2.00.00.001    lf0202d                       12/02/20  10:41:36
LF0203GSP                             2.00.00.001    lf0202d                       12/02/20  10:41:36
LF0203GTO                             2.00.00.001    lf0202d                       12/02/20  10:41:36
LF0202A                               2.00.01.091    lf0202rp                      12/02/20  10:41:38
LF0202B                               2.00.01.083    lf0202rp                      12/02/20  10:41:39
LF0202C                               2.00.00.016    lf0202rp                      12/02/20  10:41:39
     PonLFAPI074 - 02.a - b-dwf-estab.cod-estab = 1                                                         
     PonLFAPI074 - 02.b - b-dwf-estab.cod-estab-centrdor = 1                                                
     Pon?                                                                                                   
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:42
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:42
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:42
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:42
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:42
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:42
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:42
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:42
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:43
UT-PERC                               3.00.00.002    lf0202rp                      12/02/20  10:41:43
CDAPI704                              2.00.00.013    lf0202a                       12/02/20  10:41:43
LFAPI072                              2.00.00.035    lf0202a                       12/02/20  10:41:43
CDAPI704                              2.00.00.013    lfapi072                      12/02/20  10:41:43
LFAPI072                              2.00.00.035    lf0202b                       12/02/20  10:41:44
CDAPI704                              2.00.00.013    lfapi072                      12/02/20  10:41:44
CDAPI704                              2.00.00.013    lf0202b                       12/02/20  10:41:44
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:44
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:44
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:44
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:44
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:45
TCFI00573                             2.00.00.003    lf0202a                       12/02/20  10:41:48
TWFI00573                             2.00.00.003    lf0202a                       12/02/20  10:41:51
